好的	OK
乐曲	musical
砍伐	cut down
资本	capital
政策	policy
之类	etc.
治病	treat
链接	link
白大褂	doctor's coat
轮廓	outline
过马路	cross street
情侣	lovers
拉伸	stretch
侵略	invade
外貌	appearance
政府官员	government employee
审美标准	aesthetic
迁徙	migrate
外在	external
笔名	pseudonym
求婚	propose
弱点	weakness
性情	nature
授予	award
书面	written
探测	probe
妥善	appropriate
顽固	stubborn
无知	ignorance
向来	always
耀眼	dazzling
责怪	blame
增添	add
招收	recruit
中立	neutral
皱纹	wrinkle
被子	quilt
漫改	adapted
报答	repay
本地	local
打屁股	spank
不少	many
旁边	side
复杂	complicated
丈夫	husband
遍地	everywhere
抱负	aspiration
上午	morning
报酬	reward
除夕	New Year's Eve
学生	student
贝壳	shell
潮流	trend
飞机	airplane
地址	address
分开	separate
发表	publish
出于	stem from
城乡	city and countryside
波涛	great waves
等待	wait
多云	cloudy
功能	function
创意	creative
歌单	playlist
买菜	buy food
裙子	skirt
即使	even if
猴子	monkey
等候	wait
大师	master
课本	textbook
广场	public square
电饭锅	rice cooker
过来	come
刷牙	brush teeth
假装	pretend
法规	legislation
画家	painter
角度	angle
摄氏度	°C
金色	golden
高原	plateau
客观	objective
教师	teacher
随便吃吧	help yourself
毛巾	towel
高峰	peak
面对	face
牛仔裤	jeans
农业	agriculture
她们	they
能量	energy
旅游攻略	travel guide
社会	society
去世	pass away
官方灯泡	third wheel
那样	that kind
世纪	century
皇帝	emperor
回应	respond
稻谷	unhusked rice
剧场	theater
警告	warn
居民	resident
假日	holiday
石头	stone
前年	the year before last
细节	details
晴天	clear sky
课题	task
淘气	naughty
西红柿	tomato
堵塞	blockage
列入	include
食物	food
许多	many
煤气	gas
冰雕节	Ice carving festival
难度	difficulty
喜聞樂見	pleasing
反驳	refute
男性	male
名人	celebrity
纺织	spinning
农产品	agricultural produce
诽谤	slander
流量小生	Traffic+young man
否决	veto
回答问题	answer
整个	whole
智慧	wisdom
派出	send
尴尬	awkward
平衡	balance
生存	survive
告诫	warn
胜利	victory
奇妙	wonderful
士兵	soldier
根源	origin
树林	forest
熟人	acquaintance
书桌	desk
输出	export
挑选	select
照相	photograph
痕迹	vestige
无限	unlimited
探索	explore
违规	violate
賣家秀	seller’s demo
行李	luggage
徒弟	apprentice
混浊	turbid
寻找	seek
机灵	clever
迎接	welcome
寻求	seek
延伸	extend
以及	as well as
增长	grow
共同话题	mutual
狡猾	crafty
喵星人	cat
奖赏	reward
野生	wild
赠送	present
露营	camping
阻止	prevent
炸药	explosive
注射	injection
删除	delete
可口	tasty
亏待	unfairly
自在	comfortable
总部	headquarters
总经理	manager
藏族	Tibetan
幸亏	fortunately
轮胎	tire
蔓延	spread
雪山	snowy
配音	dubbing
自私	selfish
展示才华	exhibit
破例	exception
欺骗	deceive
买方	buyer
逝世	pass away
守护	guard
损坏	damage
唾弃	disdain
峡谷	canyon
陷阱	pitfall
羞耻	shame
严禁	prohibit
预言	predict
遭殃	suffer
瞻仰	revere
宗旨	objective
阻拦	obstruct
钻石	diamond
安静	quiet
悲剧	tragedy
表达	express
表扬	praise
生日	birthday
重新	again
粗心	careless
传染	infect
出租车	taxi
长寿	longevity
程度	degree
长跑	long-distance running
长远	long-term
山火	wildfire
场馆	venue
变迁	changes
出汗	perspire
句子	sentence
崇拜	worship
回去	return
做运动员	athlete
冠军	champion
光滑	sleek
搭档	partner
一年半前	A year and a half ago
电源	power source
典礼	ceremony
档案	record
抵抗	resist
市中心	downtown
疯狂	crazy
尽快	quickly
高大	tall
浪费	waste
个儿	size
叫作	called
公正	fair
古老	ancient
富人	rich
储备	reserves
含有	contain
麦克风	microphone
触犯	violate
工商	industry
签证	visa
书店	bookstore
片面	one-sided
国产	domestic
果树	fruit tree
仍然	still
勤奋	hardworking
怠慢	neglect
甚至	even
生意	business
闪电	lightning
新年	New Year
时髦	fashionable
空儿	spare time
杨红	Hong
定义	definition
教育部	Ministry of Education
括号	parentheses
商人	merchant
投资	investment
对称	symmetry
信封	envelope
顿时	immediately
繁华	flourishing
年初	beginning
科研	research
模式	method
心理	psychology
冷气	air conditioning
批准	approve
女性	woman
押金	deposit
停车场	parking lot
两侧	two sides
分泌	secrete
增加	raise
占线	busy
应付	deal with
路过	pass by
亲人	close relatives
灾难	disaster
运用	use
午睡	nap
穷人	poor people
人力	manpower
贫困	impoverished
品牌	brand name
设置	set up
恰当	appropriate
收集	gather
体操	gymnastic
跳高	high jump
跳远	long jump
水库	reservoir
师生	teachers and students
适当	suitable
和蔼	kindly
耿直	honest
台灯	desk lamp
中世纪	medieval
牙刷	toothbrush
王子	prince
影视	movies and television
异人之下	I am Nobody
消耗	use up
金属	metal
以往	formerly
卡车	truck
路透	Reuters
舰艇	warship
再次	once more
有钱人	rich person
震惊	shock
正如	just as
雨衣	raincoat
校内	on-campus
终止	stop
总数	total
总量	overall amount
先干为敬	toast
大山深处	deep in the mountains
吝啬	stingy
山腰	halfway up a mountain
笼罩	envelop
免疫	immunity
敏捷	nimble
调头	tone
恼火	annoyed
倾听	listen
做标记	highlight
音乐圈	music community
卖方	seller
墓碑	gravestone
适宜	suitable
手势	gesture
纤维	fiber
演变	develop
要点	main point
庸俗	vulgar
优越	superior
正负	positive and negative
侄子	nephew
我们	we
为什么	why
上頭姐妹	Intoxicated sisters
追星	idolize
城市	city
不一定	maybe
乘坐	ride
厨房	kitchen
步行	walk
身体	body
餐馆	restaurant
抄写	copy
电脑	computer
超级	super
故事	story
大象	elephant
地球	earth
厂商	manufacturer
柿子	persimmon
睡觉	sleep
城镇	town
处罚	punish
妨碍	hinder
评价	evaluate
喜欢	like
可爱	adorable
从中	from within
初等	elementary
饭馆	restaurant
东部	eastern
怨念	grudges
短期	short-term
创办	establish
创建	found
不由得	can't help
登录	register
地面	ground
多次	repeatedly
晚睡晚起	sleep late
偿还	repay
警察	police
放大	enlarge
短片	short film
奋斗	strive
陈列	display
应该	should
共计	total
力量	power
受欢迎	popular
黑暗	darkness
慈善	charitable
伺候	serve
建成	establish
金牌	gold medal
亲爱	dear
建造	construct
进化	evolution
科技	technology
鸭梨山大	pressure
书架	bookshelf
空中	in the air
乐趣	delight
断绝	sever
身边	at one's side
什么样	what kind
媒体	media
领带	necktie
威胁	threaten
走路	walk
卧室	bedroom
敏感	sensitive
一切	everything
优秀	outstanding
牌子	brand
羽毛球	badminton
区域	region
全都	all
热门	popular
高超	excellent
自动	automatic
强壮	strong
桥梁	bridge
排除法	elimination
害虫	pest
车厢	carriage
找出	find
童话	fairy tales
土地	local god
运动鞋	sneakers
桃树	peach tree
收取	receive
放大招	bring out the big guns
買家秀	customer’s demo
形成	form
候选人	candidate
杏仁	almond
修建	build
睡衣	pajamas
显出	express
优良	fine
玉米	corn
铸铁	pig iron
刻苦	hardworking
沿着	go along
要不然	otherwise
菜花	cauliflower
增产	increase production
阴影	shadow
精简	simplify
真诚	sincere
境界	realm
原告	complainant
制约	restrict
咀嚼	chew
注册	register
直升机	helicopter
空洞	empty
恐吓	threaten
文化包容	cultural inclusiveness
情绪化	emotional
论坛	forum
生活方式	lifestyle
有耐心	patient
谋求	seek
眼影	eye shadow
排练	rehearse
烹饪	cooking
虚假	false
签署	sign
勤俭	hardworking and frugal
娱乐圈	entertainment industry
尚且	even
奢侈	luxurious
牲畜	livestock
首饰	jewelry
俗话	proverb
倘若	if
挽回	retrieve
下属	subordinate
严峻	severe
野蛮	barbarous
拥护	endorse
渔民	fisherman
预先	beforehand
在意	care about
折磨	torment
之际	during
致使	cause
滋味	flavor
保卫	defend
彼此	each other
值得	worth
便于	convenient
成为	become
保重	take care
不曾	hasn't
不良	unhealthy
参与	participate
大约	approximately
笨拙	clumsy
差异	difference
出色	remarkable
政府	government
穿上	to put on
简单	simple
代表团	delegation
秒懂	instantly understand
回来	return
灯光	lighting
竞争	compete
咳嗽	cough
绝对	absolute
人民	the people
高于	greater than
接到	receive
后果	consequences
灵活	flexible
最近	recently
浏览	browse
处境	situation
耐心	patience
基本上	basically
革新	innovate
垂直	perpendicular
黄瓜	cucumber
年纪	age
回顾	look back
官司	lawsuit
路边	roadside
勺子	scoop
对我来说	as far as I'm concerned
缺乏	lack
基督教	Christianity
排球	volleyball
失眠	insomnia
快速	fast
收据	receipt
看待	look upon
丢三落四	forgetful
领先	lead
提倡	promote
就是说	in other words
两边	either side
牙膏	toothpaste
项链	necklace
推送	push
放射	radiate
有利	advantageous
齐全	complete
取消	cancel
质量	quality
确保	ensure
没收	confiscate
制造	manufacture
中旬	middle third
全世界	worldwide
设立	establish
港湾	harbor
隔离	isolate
社区	community
亲属	relatives
红牛	Red Bull
摄像机	video camera
摄影师	photographer
收看	watch
音乐会	concert
刷子	brush
恭敬	deferential
全新	all new
缩短	shorten
手法	technique
挑战	challenge
深化	deepen
兑换	convert
无法	unable
候选	candidate
小型	small scale
狗血	melodramatic
娃娃	doll
消除	eliminate
蝴蝶	butterfly
恐怖片	horror movie
极限	limit
动作片	action movie
整天	all day
优美	graceful
预测	forecast
制作	make
依次	in order
智力	intelligence
解散	dissolve
用处	usefulness
敬业	dedicated
掌声	applause
照耀	shine
哲学	philosophy
政权	regime
症状	symptom
自我	self
冷却	cool
洛杉矶	Los Angeles
磨合	break in
皮革	leather
拼搏	struggle
启程	set out
请示	ask for instructions
树立	set up
弹性	flexibility
挑衅	provoke
椭圆	oval
威力	might
无比	incomparable
夕阳	sunset
毅力	perseverance
镇定	calm
岸上	ashore
暴力	violence
教室	classroom
伴侣	companion
打电话	telephone call
诚恳	sincere
查出	find out
登记	register
黄河	Yellow River
椅子	chair
窗台	windowsill
放暑假	summer vacation
反而	on the contrary
当初	at that time
剥削	exploit
故意	deliberately
各自	each
打牌	play cards
房租	rent
胡说	talk nonsense
糊涂	muddled
赶到	hurry
赶紧	hurriedly
卡农	canon
艰苦	difficult
毒品	drugs
巢穴	lair
公共	public
温度	temperature
哪些	which ones
钢笔	fountain pen
格外	especially
前天	the day before yesterday
请问	Excuse me
过分	excessive
传单	leaflet
明显	clear
模糊	vague
课堂	classroom
股东	shareholder
将近	almost
任何	any
海报	poster
技能	skill
加速	speed up
阴天	cloudy day
互动	interact
奖学金	scholarship
就业	employment
售货员	salesperson
嗓子	throat
猜灯谜	Guessing lantern riddles
景象	scene
局面	situation
王蕴宏	Yunhong uncle
讨论	discuss
无聊	bored
精美	exquisite
天真	naive
额外	extra
而已	that's all
快车	express
描述	describe
默默	in silence
尤其	especially
形状	form
流量小花	Traffic+little flower
以来	since
准确	accurate
福气	good fortune
种子	seed
制定	formulate
复兴	revive
干劲	enthusiasm
设施	facilities
恰恰	exactly
一部分	portion
凹造型	strike a pose
球星	sports star
塑料	plastics
所长	head
黑子	hater
归还	return
特性	property
走过	walk past
微博	microblogging
叹气	sigh
探讨	investigate
特意	intentionally
黄昏	dusk
演唱会	concert
银牌	silver medal
信箱	mailbox
眼泪	tears
胡同	alley
嚇出翔	scare
英勇	heroic
营业	do business
过塑	laminate
血管	blood vessel
预期	expect
不夜城	sleepless city
艺人	performer
做客	visit
自来水	tap water
证书	certificate
值班	on duty
战场	battlefield
县城	county town
指头	finger
提纲	outline
象棋	Chinese chess
赛马	horse racing
疲惫	exhausted
代购	buy on behalf
确切	definite
没人管	neglected
口音很重	heavy accent
盛开	bloom
奇特	peculiar
是非	right and wrong
芸薹属	Brassica
昔日	former days
辛勤	hardworking
压缩	compress
隐约	vague
幼稚	childish
赞叹	admire
庄重	dignified
罢工	strike
暴风雨	storm
有道理	reasonable
本身	itself
版本	version
姐姐	older sister
补偿	compensate
吧啦吧啦	blah blah
声音	voice
中午	noon
才能	talent
复习	review
没有对错	no right or wrong
鼻涕	nasal mucus
看见	see
辨认	recognize
城区	urban area
传输	transmit
害羞	shy
其实	actually
当场	on the spot
合法	legal
大力	energetically
担忧	worry
当作	treat as
舒服	comfortable
诧异	astonished
忽然	suddenly
斗争	struggle
经验	experience
多半	mostly
银行	bank
决赛	finals
哈哈	laughing
老鼠	rat
说漏嘴	blurt out
光荣	honor
盒饭	partitioned meal
生活	life
胆怯	timid
适应	adapt
旧金山	San Francisco
顺利	smoothly
时尚	fashion
看来	apparently
体验	experience
纠正	correct
漏洞	loophole
幸福	happiness
演员	actor
梦想	dream
脑子	brains
正常	normal
分量	quantity
平坦	level
平原	plain
认出	recognition
整齐	orderly
商业	business
资格	qualifications
高明	brilliant
根深蒂固	deep-rooted
实验室	laboratory
耕地	arable land
试题	exam question
射击	shoot
烦躁	jittery
说不定	maybe
时光	time
炸弹	bomb
旗子	flag
过奖	overpraise
当心	take care
外套	coat
网址	website
豪迈	bold
和气	friendly
体积	volume
做到	accomplish
逼格	pretentious
算是	considered
岁数	age
违法	illegal
皇后	empress
货币	currency
机智	quick-witted
顽强	tenacious
信念	faith
嫉妒	jealous
依照	according to
有幸福感	happiness
救护车	ambulance
用不着	not need
指出	indicate
雨水	rainwater
制订	formulate
之下	under
省略	omit
亏损	deficit
连同	together with
寺庙	temple
芹菜	celery
农田	farmland
瞄准	target
难堪	embarrassed
比方说	for example
情报	information
缺口	gap
棺材	coffin
守旧	conservative
瞬间	instant
条约	treaty
通俗	common
微不足道	insignificant
蒸发	evaporate
知觉	perception
准则	norm
姿态	attitude
作风	style
拜访	visit
第一	first
什么	what
怎么	how
冰箱	refrigerator
衬衫	shirt
早上	morning
不顾	regardless
电子邮件	email
报仇	avenge
不光	not only
不怎么	not very
赚钱	earn money
说谎	lie
措施	measure
害怕	afraid
成长	grow
大自然	nature
存在	exist
表决	vote
看情况	depending
担保	guarantee
怪不得	no wonder
后悔	regret
到来	arrival
美元	dollar
仓促	hurriedly
父母	parents
概念	concept
体育	sports
电车	trolleybus
突然	sudden
完成	complete
红色	red
听力	hearing
个性	personality
洗手间	toilet
画儿	picture
洗澡	bathe
朝代	dynasty
门口	entrance
风俗	custom
公务员	official
共有	shared
城堡	castle
拿来	bring
柏林	Berlin
停更	stop updating
男票	boyfriend
高科技	high tech
自然	natural
加快	accelerate
推倒	overthrow
姑姑	aunt
坚决	resolute
汇款	remittance
坚固	firm
热爱	love ardently
人生	life
混乱	chaos
深刻	profound
疾病	disease
地势	terrain
事物	thing
老头儿	old man
烤肉	barbecue
渴望	long for
似乎	seemingly
文件	document
凉水	cool water
兔子	rabbit
信息	information
中学	middle school
未必	not necessarily
命运	fate
文学	literature
奔走相告	spread the news
消失	disappear
幽默	humor
模特儿	model
牙齿	tooth
联盟	alliance
分红	dividend
晚安	Good night!
晚会	evening party
员工	staff
服气	convinced
热烈	enthusiastic
清醒	clear-headed
腹泻	diarrhea
确立	establish
人间	human world
实施	implement
格局	structure
山区	mountain area
潜力	potential
尷尬癥	Embarrassment syndrome
剩下	remain
松树	pine
早就	already
蔬菜	vegetables
惯例	convention
停止	stop
损害	harm
时期	period
外文	foreign language
地道	authentic
屋子	house
做饭	prepare a meal
相等	equal
消毒	disinfect
消防	firefighting
外来	external
王后	queen
饥饿	hunger
家常	daily life
一流	top quality
证据	evidence
修车	repair
自从	since
自身	oneself
增强	strengthen
祝福	blessings
模特	model
买单	pay bill
住宅	residence
蜡烛	candle
火盆	brazier
伶俐	clever
推卸责任	shrug off
屡次	repeatedly
弥漫	permeate
正后面	behind
庞大	huge
片断	segment
慎重	cautious
落地窗	French window
思索	ponder
四肢	limbs
体系	system
妥当	proper
响亮	resounding
严寒	bitter cold
杂技	acrobatics
阵地	position
智商	IQ
庄严	solemn
自满	complacent
租赁	rent
扮演	role play
巴士	bus
鼻子	nose
不但	not only
不见得	not necessarily
不耐烦	impatient
榜样	example
车票	ticket
地图	map
采用	adopt
公共汽车	bus
地上	on the ground
长处	strengths
朋友	friend
粗糙	rough
关系	relationship
苹果	apple
谢谢	thanks
几乎	almost
辩证	investigate
别致	unique
处处	everywhere
工厂	factory
此处	here
号码	number
村庄	village
请假	request leave
操劳	work hard
奖金	bonus
伙伴	partner
家务	housework
马路	street
花园	garden
坏处	troubles
小心	careful
多方面	many-sided
幅度	extent
钢琴	piano
开水	boiled water
共享	share
就要	will
含量	content
喜剧	comedy
歌星	singer
炊烟	smoke
身上	on the body
构建	construct
获取	gain
或是	or
将要	will
下边	under
忍不住	cannot help
首都	capital
据说	reportedly
尽可能	as much as possible
臟辮	Dirty+braids
简介	summary
青少年	adolescent
截至	up to
金融	financial
详细	detailed
少数	minority
良好	good
学期	term
发誓	to vow
毛衣	sweater
客车	coach
口试	oral examination
摩托	motor
消极	negative
心脏	heart
领取	to receive
品种	variety
作家	author
日常	daily
逐步	progressively
群众	mass
主任	director
格式	format
使劲	exert
强化	strengthen
供不应求	supply shortage
清洗	wash
翅膀	wing
思维	thinking
外汇	foreign exchange
围巾	scarf
卫生	health
显得	appear
外界	external
胡须	beard
田径	athletics
商业区	downtown
浑身	all over
柜台	counter
有效	effective
任性	willful
乐队	band
虐心	heartbreaking
坚实	firm
职工	workers
药品	medicine
要么	either
抓住	to grab
阅览室	reading room
轮流	alternate
职务	position
扎实	solid
奇观	spectacle
留神	take care
啰唆	chatty
茫茫	boundless
藐视	despise
宁愿	rather
飘扬	wave
颧骨	cheekbone
曲折	complicated
容忍	tolerate
糖尿病	diabetes
施展	use fully
歪曲	distort
无偿	free
馅儿	filling
一目了然	obvious
帐篷	tent
遮挡	shelter
珍稀	rare
指令	order
注释	annotation
熬夜	stay up late
办事	handle
乡村	rural
菜单	menu
比重	proportion
不大	not very
房间	room
蛋糕	cake
今天	today
窗户	window
成人	adulthood
下午	afternoon
重复	repeat
打针	injection
大使馆	embassy
老师	teacher
个子	height
春天	spring
衣服	clothes
电视机	television
仓库	warehouse
称号	title
或者	or
再见	goodbye
起床	get up
否则	otherwise
软柿子	pushover
工人	worker
别墅	villa
高速公路	expressway
此刻	this moment
好笑	funny
顾客	customer
船长	captain
不可能	impossible
家人	family
步伐	pace
互相	mutually
财政	finances
起飞	take off
何必	there is no need
公路	highway
花生	peanut
多样	diverse
图书馆	library
敞开	open wide
镜子	mirror
新闻	news
房价	house price
愤怒	angry
理解	comprehend
快餐	fast food
慌忙	in a rush
关爱	show concern
接近	approach
金主	financial backer
网友	online friend
艰难	difficult
档次	grade
导弹	missile
胶带	adhesive tape
具体	concrete
狮子	lion
酒吧	bar
决不	not at all
气温	air temperature
同情	sympathize
宽广	wide
动身	go on a journey
金额	sum of money
连接	link
推荐	recommend
零食	snacks
犀利	sharp
至少	at least
模型	model
体育场	stadium
男女	male-female
因素	element
人工智能	artificial intelligence
气体	gas
免得	avoid
账户	account
俯视	overlook
内地	inland
沙子	sand
善良	kindhearted
上升	rise
倾向	tendency
暑假	summer vacation
让座	give up seat
调皮	naughty
率领	lead
中小学	elementary school
时装	fashion
航行	navigate
武器	weapon
舞台	stage
宏伟	grand
素质	quality
卫星	satellite
听取	hear
会晤	meet
衣架	clothes hanger
外科	surgery
微波炉	microwave oven
坚韧	tenacious
幼儿园	kindergarten
见解	opinion
男閨蜜	confidante
中部	middle part
有力	powerful
娇气	delicate
原先	originally
唯一一个	only one
子女	children
在内	included
进而	and then
音像	audiovisual
远方	distant location
政党	political party
唠嗑	chit-chat
追究	investigate
来历	origin
理睬	pay attention
领悟	comprehend
麻木	numb
茫然	at a loss
神圣	sacred
荒郊	desolate
欧美	Western
涮火锅	hot pot
条理	order
问世	published
无穷无尽	endless
贤惠	virtuous
摇摆	sway
意图	intent
乐谱	musical score
岳母	mother-in-law
阻挠	thwart
被迫	compelled
长江	Yangtze River
饱和	saturated
答案	answer
咖啡	coffee
得到	obtain
不许	not allowed
重要	important
促使	prompt
护照	passport
尝试	attempt
等于	equal to
放假	have a holiday
撤离	withdraw
繁荣	prosperous
持有	hold
思考	reflect
个人	individual
运动员	athlete
大伙儿	group
倒闭	bankrupt
说废话	nonsense
获得	obtain
当选	elected
电灯	electric light
参谋	staff officer
地形	topography
当成	consider as
电力	electrical power
教材	teaching material
夫人	lady
发放	provide
反响	repercussions
游戏	game
看不起	look down upon
工作日	workday
进入	enter
自行车	bicycle
炸毛	flip out
高手	expert
车来了	here
观光	sightseeing
会谈	talks
平静	tranquil
热心	enthusiastic
人类	humanity
善于	good at
吉利	lucky
吉祥	auspicious
洗剪吹	shampoo
果粉	Apple fan
雕刻	carve
一下儿	erhua variant
教堂	church
节能	save energy
取得	acquire
全年	whole year
例外	exception
楼梯	stair
正确	correct
看作	regard as
显然	clearly
繁体字	traditional
送给	give
年底	year-end
难得	rare
飞翔	soar
悠久	long
器官	organ
人士	person
深入	thorough
总之	in short
各抒己见	give their own view
公然	openly
神奇	magical
手指	finger
取款	withdraw
时机	opportunity
股份	stock
热线	hotline
孙女	granddaughter
会议室	meeting room
规格	standard
中级	middle level
宏观	macro-
特快	express
修改	amend
鲜艳	bright-colored
级别	rank
鸭子	duck
一下儿	erhua variant of 一下
协助	assist
意味着	signify
游泳池	swimming pool
浸泡	soak
局势	situation
恐惧	fear
中华	China
款式	elegant
列举	list
种族歧视	racism
盆地	basin
气概	spirit
付水电费	pay utilities
山脉	mountain range
施加	exert
鱼缸	fish tank
体裁	genre
田野	field
玩意儿	thing
挽救	save
畏惧	fear
误差	error
嫌疑	suspicion
现成	ready-made
欣欣向荣	flourishing
悬殊	vastly different
遗留	leave behind
盈利	profit
沼泽	marsh
正月	lunar January
传记	biography
着重	emphasize
总而言之	in short
安全	safety
必然	inevitable
如果	if
变更	change
博览会	exposition
彻底	thorough
眼睛	eye
沉重	heavy
逼迫	force
汉语	Chinese language
皮肤	skin
电池	battery
道路	road
炒股	speculate
充足	adequate
付款	payment
节日	holiday
肥皂	soap
导演	director
好玩儿	fun
裤子	trousers
电视剧	TV series
历史	history
处长	department head
捕捉	catch
元氣	vigor
从没	never
合适	suitable
感到	feel
盘子	plate
国庆节	National Day
亲自	personally
既然	since
家具	furniture
恶心	vice
好多	many
电器	appliance
定价	set a price
禁止	prohibit
男孩儿	boy
惩罚	punishment
仿佛	seem
女孩儿	girl
凉快	cool
红茶	black tea
最后	final
刚好	just
外国	foreign
外语	foreign language
球迷	fan
防晒霜	sunscreen
当面	in person
看望	visit
尾巴	tail
码头	dock
目前	current
贩卖	sell
难以	hard to
站隊	take sides
疑问	doubt
部首	radical
粉碎	crushed
拥挤	crowded
马车	cart
民歌	folk song
准时	on time
情节	plot
屏幕	screen
舍得	willing
固然	admittedly
提问	question
啪啪啪	sex
升学	enter school
和睦	peaceful
供你参考	FYI
呼啸	whistle
毁灭	destroy
参加比赛	participate
延续	continue
无边	without boundary
先锋	vanguard
以便	so that
精分	schizophrenia
意志	will
至今	so far
有害	harmful
降临	arrive
灾区	disaster area
增多	increase
意愿	aspiration
转弯	turn
许可证	license
治安	law and order
举世瞩目	receive attention
沮丧	dispirited
剧烈	violent
倔强	stubborn
转向	get lost
这就是说	in other words
空虚	emptiness
旷课	play truant
装备	equipment
壮观	spectacular
熙熙攘攘	bustling
长辈	elders
美妙	wonderful
墨水儿	ink
片刻	moment
旗袍	cheongsam
迄今为止	so far
擅长	be good at
完毕	finish
往事	past events
争端	dispute
追悼	mourn
比方	analogy
保守	conservative
便利	convenient
右边	right side
抽烟	smoke
做完	finish
承受	bear
男人	man
不料	unexpectedly
牛奶	milk
大学	university
漫威	Marvel
草原	grassland
告诉	tell
初步	initial
方法	method
放松	relax
达到	reach
初期	initial
幸运	fortunate
风景	scenery
工资	wages
电视台	television station
沙滩	beach
单独	alone
不相上下	equally matched
观察	observe
交水电费	pay bills
灿烂	brilliant
以前	before
海边	seaside
教育	educate
精彩	wonderful
流弊	malpractice
方针	policy
景色	scenery
更加	more
回国	return home
凡是	each and every
防守	defend
搞好	do well
供应	supply
赤字	deficit
主要	main
华人	ethnic Chinese
传授	impart
其中	among
机制	machine-processed
打仗	fight
坚定	firm
检验	inspect
下班	finish work
接连	in succession
小孩儿	child
经费	funds
奠定	establish
月末	end of month
推特	Twitter
全身	whole body
景点	tourist attraction
小吃	snack
开创	initiate
贸易	trade
发扬	develop
大快人心	satisfying
没带脑子	thoughtless
因此	thus
南北	north and south
排名	rank
信任	trust
蓝领	blue-collar
宁静	tranquil
频道	channel
请教	consult
汽水	soda
灾害	disaster
签约	sign a contract
签字	signature
办手续	formalities
盼望	hope for
平凡	ordinary
失业	unemployment
亲眼	with one's own eyes
姑且	tentatively
日夜	day and night
收购	purchase
如一	consistent
拐杖	crutches
伤亡	casualties
统计	statistics
升值	appreciate
时而	occasionally
逃走	escape
耳环	earring
发抖	tremble
物价	prices
延长	prolong
性能	performance
卧铺	couchette
急躁	irritable
无效	ineffective
依据	according to
袖珍	pocket-sized
运动会	sports competition
园林	gardens
段子手	joke writer
晋升	promote
振动	vibrate
正规	regular
就近	nearby
鞠躬	bow
开阔	open
侃侃而谈	speak frankly
空想	daydream
珠宝	jewels
主角	leading role
坦率	frank
旅游区	travel destination
少数民族	ethnic group
乐器	musical instrument
蔑视	despise
万圣节	Halloween
驱逐	expel
饶恕	forgive
人格	personality
标点符号	punctuation
舒畅	happy
坦白	honest
陶瓷	ceramics
调料	condiment
卷心菜	cabbage
挖掘	excavate
无动于衷	indifferent
务必	must
衔接	link up
以免	in order to avoid
引擎	engine
优胜劣汰	survival of the fittest
优异	exceptional
愚昧	ignorant
侦探	detective
征收	levy
爱国	patriotic
把关	guard
拜托	please
博客	blog
商店	store
邻居	neighbor
西瓜	watermelon
补助	subsidize
粉頭	fan leader
背诵	recite
考试	exam
从小	from childhood
后来	afterwards
场地	space
否认	deny
代替	replace
错过	miss
回忆	recall
过敏	allergic
刚刚	recently
合同	contract
残忍	cruel
灰心	lose heart
同意	agree
二维码	QR code
能力	capability
门票	ticket
拒绝	refuse
腿玩年	stunning legs
夫妻	married couple
发炎	inflamed
高尚	noble
教学	teaching
工艺	arts and crafts
女生	schoolgirl
了不起	amazing
陆地	dry land
另一个人	another person
判断	judge
农村	rural
国旗	flag
散步	walk
日程	schedule
日历	calendar
唐人街	Chinatown
谜语	riddle
设计	design
看上去	appear
所有	all
始终	throughout
同时	simultaneously
网球	tennis
口号	slogan
讨价还价	bargain
橡皮	rubber
消息	news
比萨饼	pizza
心情	mood
众创空间	hackerspace
严重	serious
邮局	post office
友好	friendly
原谅	forgive
聊天儿	chat
吩咐	instruct
强度	intensity
抚养	foster
富裕	prosperous
支票	check
更正	correct
因为	because
收听	listen
三明治	sandwich
铁路	railway
主人	master
蒙圈	confused
推行	implement
把妹	pick up
特地	specially
学问	knowledge
机密	secret
形态	shape
学位	academic degree
舞蹈	dance
季军	bronze medalist
網紅	Internet celebrity
共同努力	collaborate
预订	book ahead
鉴别	differentiate
原则	principle
用于	use for
虚心学习	humble learning
依赖	depend on
一齐	simultaneously
惊动	alarm
争议	controversy
兢兢业业	conscientious
就职	assume a post
科目	academic subject
职责	responsibility
波士顿	Boston
迷惑	puzzle
纳闷儿	wonder
凝视	gaze
炫耀	show off
搞混	confuse
丢垃圾	take out the trash
散发	distribute
势必	undoubtedly will
污蔑	slander
向往	yearn for
喧哗	hubbub
削弱	weaken
巡逻	patrol
支柱	mainstay
衷心	heartfelt
驻扎	station
铸造	cast
包含	contain
白领	white-collar
杯子	cup
服务	service
败坏	corrupt
颁发	issue
一点儿	a little
参观	visit
包庇	shield
饱经沧桑	experienced
打球	play ball
打扰	disturb
上学	go to school
沉默	silent
策略	strategy
季节	season
罚款	fine
改变	change
承包	undertake
创立	establish
此后	afterwards
队长	captain
搏斗	fight
干活儿	work
部署	deploy
其他	other
地下	underground
采集	gather
记者	reporter
点燃	ignite
草案	draft
过年	celebrate
提高	raise
电动	electric
路口	intersection
路上	on the road
讲座	lecture
分析	analyze
举行	hold
犯罪	commit
理想	ideal
好好	carefully
利息	interest
规模	scale
高层	high-rise
寒冷	cold
名牌	famous brand
名胜古迹	historical sites
纯洁	pure
家属	family member
能源	energy
篮球	basketball
