临	face
坦	level
帜	flag
嘛	what
闯	rush
音	sound
主	owner
匆	hurried
滚	roll
严	strict
野	field
东	east
某	some
叭	sound
沮	destroy
肴	meat dishes
施	distribute
攻	attack
厂	factory
缩	shrink
帝	emperor
遮	cover
屎	feces
既	already
寂	silent
务	affair
冻	freeze
鬼	ghost
弯	bend
罚	punish
碌	used in 碌碡
泼	splash
鸡	chicken
碎	break into pieces
量	measure
先	beforehand
驻	halt
行	walk
盒	small box
杨	poplar
柴	firewood
阱	pitfall
崭	towering
育	raise
辖	govern
论	opinion
修	decorate
猎	hunting
慎	careful
阔	wide
垂	droop
殴	beat up
藐	despise
磅	pound
艺	art
或	maybe
拔	pull up
吝	stingy
碧	green jade
养	raise
慨	generous
忆	recollect
维	preserve
另	other
兰	orchid
谨	cautious
此	this
同	same
怯	timid
蛇	snake
痴	foolish
缓	slow
鹿	deer
仪	apparatus
森	densely wooded
向	towards
盐	salt
给	give
择	select
龙	dragon
撩	tease
石	stone
喇	sound
嘴	mouth
缘	fate
惋	regret
堕	fall
烤	roast
俯	look down
面	face
腹	abdomen
孕	pregnant
事	matter
慌	panic
怕	fear
溃	break through
颇	rather
太	highest
喝	drink
谐	harmonious
粹	pure
创	wound
常	often
旅	travel
印	print
秩	order
巩	secure
敷	spread
态	appearance
夫	husband
兢	fearful
挪	shift
垄	ridge
斑	spot
醒	wake up
隆	prosperous
歧	divergent
操	operate
奋	exert
坝	dam
丰	luxuriant
追	chase
右	right
澡	bath
棉	cotton
吃	eat
纽	button
蠛	minute flies
反	contrary
聚	assemble
洗	wash
溉	irrigate
觉	feel
畴	category
召	summon
特	special
柚	pomelo
凄	dismal
钩	hook
昆	descendant
衬	lining
爱	love
饼	cake
喘	gasp
标	mark
底	bottom
暄	warm
几	how many
芝	Zoysia
纠	correct
晓	dawn
昌	prosperous
早	early
抓	grab
鲈	perch
哮	roar
肃	solemn
师	teacher
宾	guest
蒙	deceive
拍	pat
磕	knock
闲	leisure
浸	immerse
茎	stalk
钙	calcium
魂	soul
忌	jealous
卓	outstanding
流	flow
嘉	excellent
玩	play
风	wind
僵	rigid
撼	shake
威	power
废	abolish
腕	wrist
励	encourage
卷	roll
栗	cold
耿	bright
每	each
皆	all
挑	choose
狠	ruthless
淆	confused
愈	recover
认	recognize
坟	grave
指	finger
川	river
艰	difficult
抒	express
仁	humane
丧	mourning
呆	foolish
傻	foolish
拢	gather
租	rent
住	live
神	God
百	hundred
脱	shed
抑	restrain
虹	rainbow
框	frame
然	correct
唆	incite
儒	scholar
否	negate
抹	wipe
漏	leak
熨	iron
嫩	tender
悉	know
棵	classifier for trees
诺	promise
番	kind
洽	accord
暗	dark
坠	fall
枪	gun
味	taste
型	type
炮	cannon
样	appearance
制	control
贫	poor
盟	pledge
频	frequency
掰	break
谓	speak
牺	sacrifice
乎	in
恢	restore
兆	omen
盾	shield
虾	shrimp
禁	prohibit
凑	gather
脚	foot
日	day
胜	victory
慷	generous
很	very
椅	chair
驱	drive
彻	thorough
瓣	petal
良	good
冷	cold
贷	to lend
见	to see
考	examine
蜜	honey
哲	wise
玻	glass
虽	although
版	edition
嗽	cough
拜	pay respect
巴	long for
耗	waste
拥	embrace
趋	hasten
渠	drain
厨	kitchen
一	one
眯	narrow one's eyes
笼	cage
耻	shame
敢	dare
隐	hidden
秃	bald
斟	pour
绳	rope
肤	skin
板	board
配	join
绩	merit
蒸	steam
陪	accomany
舅	maternal uncle
词	word
氛	vapor
抢	grab
症	illness
鞠	bow
泰	peaceful
违	disobey
奢	extravagant
水	water
街	street
纯	pure
峭	steep
遣	dispatch
贯	pierce through
朗	clear
攀	climb
朽	rotten
没	drowned
憾	regret
粗	coarse
乏	short of
机	machine
层	layer
生	born
长	length
刮	scrape
更	change
她	she
决	decide
绦	braid
湿	moist
妞	girl
询	inquire
傅	instructor
盗	steal
铁	iron
划	row
柏	cedar
象	elephant
凶	terrible
晕	dizzy
光	light
自	self
气	air
畜	livestock
其	its
幸	fortunate
冒	brave
未	not yet
府	government
贼	thief
恐	fear
华	magnificent
挺	outstanding
贱	despicable
螂	dragonfly
桶	bucket
歇	rest
缝	seam
缔	connection
称	name
厅	hall
唉	sigh
族	clan
选	choose
软	soft
亏	deficiency
莎	katydid
愧	ashamed
嚼	chew
轻	light
密	secret
艳	colorful
陵	tomb
侠	heroic
赶	hurry
攘	reject
骏	spirited
聘	engage
棒	strong
县	county
脑	brain
详	detailed
罕	rare
曾	once
梅	plum
隶	servitude
蛙	frog
束	bind
雨	rain
漂	float
戴	put on
露	reveal
全	all
粤	Cantonese
锈	rust
堵	block
裳	skirts
桔	Platycodon
桌	table
烦	vexed
粥	congee
馅	stuffing
嫁	marry
房	house
沉	submerge
毅	resolute
颜	color
旷	neglect
咚	thud
永	forever
溜	slip away
剧	theatrical
悟	comprehend
鑄	cast
胡	reckless
蜻	dragonfly
诚	sincere
忽	neglect
尚	still
巡	patrol
莫	do not
物	thing
庸	ordinary
瓷	chinaware
剔	scrape
辉	splendor
旦	dawn
旺	prosperous
扑	pounce
胞	placenta
炊	cook
猪	pig
诵	recite
涛	big wave
立	stand
嘈	noisy
拖	drag
二	two
谎	lies
糊	paste
末	end
涌	rush forth
怪	strange
绕	wind
鸟	bird
蔬	vegetables
贡	tribute
腥	fishy
兔	rabbit
教	teach
虚	emptiness
宫	palace
哀	sorrow
祷	prayer
剪	scissors
完	complete
峡	gorge
总	general
证	certificate
吓	scare
简	simple
挥	wave
砍	chop
粮	grain
谬	absurd
削	peel
淀	sediment
酷	ruthless
裔	descendants
焦	burnt
辣	hot
俘	prisoner
残	destroy
侦	spy
答	answer
境	border
臣	state official
萌	sprout
储	store
跪	kneel
整	whole
躲	hide
仙	immortal
览	look at
蓝	blue
辐	spoke
淡	insipid
缚	bind
壤	soil
圆	round
理	texture
悼	mourn
郁	melancholy
锅	pot
与	and
幢	banner
办	manage
舱	cabin
哇	wow
讽	satirize
曹	surname Cao
锐	acute
燃	burn
多	many
容	contain
乃	thus
义	justice
乓	bang
伏	to hide
保	to protect
倒	to fall
像	to resemble
劣	inferior
劳	to toil
包	to wrap
去	to go
叶	leaf
叹	to sigh
吨	ton
吼	to roar
呻	groan
咱	we
哗	clamor
唱	to sing
啸	to whistle
喵	meow
嗑	to crack
堤	dike
天	sky
女	female
封	to confer
屁	fart
岸	bank
弹	bullet
恤	sympathy
恩	favor
惭	ashamed
意	idea
扒	to peel
抖	to tremble
担	to undertake
挂	to hang
措	to handle
摊	vendor's stand
撕	to tear
撞	collision
敲	to strike
朵	flower
权	authority
桨	oar
歹	bad
目	eye
瞩	to gaze
秤	steelyard
窝	nest
耳	ear
肝	liver
节	节骨眼
茶	tea
蒂	stem
蔼	friendly
虎	tiger
虫	insect
袱	bundle
裁	to cut
触	to touch
讲	to speak
足	foot
踊	leap
辽	Liaoning
零	zero
项	item
顾	to look after
颤	to tremble
馋	gluttonous
驰	to run fast
